N,lam,exec_time,succeed
8,20,0.0065,1
20,80,0.9131,1
8,20,0.0136,0
20,128,3.2606,1
20,40,0.1434,1
20,80,0.8577,1
9,20,0.0051,1
8,40,0.0184,1
100,80,56.295,1
8,60,0.0648,1
8,80,0.1494,1
9,40,0.0346,1
100,20,0.9648,1
