N,lam,exec_time,succeed
50,80,3.0029,1
50,80,3.0062,1
50,80,2.9862,1
50,80,2.9836,1
50,80,2.9911,1
50,80,3.0146,1
50,80,3.0167,1
50,80,2.9749,1
50,80,2.9822,1
50,80,2.9630,1
50,80,2.9655,1
50,80,2.9558,1
50,80,2.9593,1
50,80,2.9194,1
50,80,2.9974,1
50,80,2.9735,1
50,80,2.9729,1
50,80,2.9567,1
50,80,3.0504,1
50,80,3.0331,1
50,80,3.0445,1
50,80,3.0645,1
50,80,3.0746,1
50,80,2.9879,1
50,80,2.9298,1
50,80,3.0428,1
50,80,2.9354,1
50,80,2.9971,1
50,80,2.9790,1
50,80,3.0149,1
50,80,2.9832,1
50,80,3.0448,1
50,80,2.9371,1
50,80,2.9135,1
50,80,2.9159,1
50,80,3.0753,1
50,80,3.0307,1
50,80,2.9810,1
50,80,3.0296,1
50,80,2.9487,1
50,80,2.9636,1
50,80,3.0462,1
50,80,3.0414,1
50,80,3.0588,1
50,80,3.0581,1
50,80,3.0522,1
50,80,3.0516,1
50,80,2.9869,1
50,80,3.0354,1
50,80,2.9647,1
50,80,3.0122,1
50,80,2.9631,1
50,80,2.9349,1
50,80,2.9793,1
50,80,2.9875,1
50,80,2.9216,1
50,80,2.9783,1
50,80,2.9962,1
50,80,2.9826,1
50,80,2.9676,1
50,80,3.0034,1
50,80,2.9172,1
50,80,2.9807,1
50,80,2.9682,1
50,80,2.9819,1
50,80,2.9708,1
50,80,2.9572,1
50,80,2.9403,1
50,80,2.9711,1
50,80,2.9658,1
50,80,2.9483,1
50,80,2.9569,1
50,80,3.0354,1
50,80,3.0497,1
50,80,3.0122,1
50,80,3.0246,1
50,80,3.0142,1
50,80,2.9722,1
50,80,2.9434,1
50,80,2.9600,1
50,80,2.9635,1
10,112,0.1791,1
10,112,0.1765,1
10,112,0.1802,1
10,112,0.1751,1
10,112,0.1845,1
10,112,0.1831,1
10,112,0.1841,1
10,112,0.1797,1
10,112,0.1804,1
10,112,0.1770,1
10,112,0.1766,1
10,112,0.1861,1
10,112,0.1892,1
10,112,0.1854,1
10,112,0.1857,1
10,112,0.1890,1
10,112,0.1797,1
10,112,0.1829,1
10,112,0.1766,1
10,112,0.1789,1
10,112,0.1765,1
10,112,0.1823,1
10,112,0.1847,1
10,112,0.1855,1
10,112,0.1836,1
